Agricultural Practice,Day,Cases
Control,1,1.0
Control,2,2.13
Control,3,4.53
Control,4,9.65
Control,5,20.55
Control,6,43.76
Control,7,93.17
Control,8,198.38
Control,9,422.38
Control,10,899.33
Control,11,1914.82
Control,12,4076.9
Control,13,8680.02
Control,14,18479.34
Control,15,39336.67
Control,16,83713.06
Control,17,178050.39
Control,18,378242.56
Control,19,801477.85
Control,20,1689204.18
Control,21,3520638.84
Control,22,7173084.04
Control,23,13986937.95
Control,24,25238060.74
Control,25,40486669.12
Control,26,56272745.91
Control,27,68301778.18
Control,28,74935095.84
Control,29,77177083.94
Control,30,76703023.03
Control,31,74784972.28
Control,32,72176904.75
Control,33,69282242.83
Control,34,66307778.25
Control,35,63357394.72
Control,36,60482287.01
Control,37,57706704.21
Control,38,55041014.71
Control,39,52488374.04
Control,40,50048171.49
Control,41,47717839.96
Control,42,45493821.89
Control,43,43372092.55
Control,44,41348447.13
Control,45,39418659.33
Control,46,37578569.0
Control,47,35824129.92
Control,48,34151434.77
Control,49,32556727.08
Control,50,31036405.54
Control,51,29587023.8
Control,52,28205287.74
Control,53,26888051.29
Control,54,25632311.34
Control,55,24435202.36
Control,56,23293990.77
Control,57,22206069.36
Control,58,21168951.74
Control,59,20180267.0
Control,60,19237754.48
Control,61,18339258.76
Control,62,17482724.83
Control,63,16666193.46
Control,64,15887796.79
Control,65,15145754.1
Control,66,14438367.75
Control,67,13764019.33
Control,68,13121165.96
Control,69,12508336.79
Control,70,11924129.65
Control,71,11367207.83
Control,72,10836297.01
Control,73,10330182.41
Control,74,9847705.96
Control,75,9387763.65
Control,76,8949303.06
Control,77,8531320.9
Control,78,8132860.73
Control,79,7753010.78
Control,80,7390901.88
Control,81,7045705.43
Control,82,6716631.53
Control,83,6402927.19
Control,84,6103874.55
Control,85,5818789.32
Control,86,5547019.15
Control,87,5287942.14
Control,88,5040965.47
Control,89,4805523.98
Control,90,4581078.92
Control,91,4367116.69
Control,92,4163147.7
Control,93,3968705.2
Control,94,3783344.25
Control,95,3606640.69
Control,96,3438190.18
Control,97,3277607.26
Control,98,3124524.46
Control,99,2978591.49
Control,100,2839474.41
Control,101,2706854.88
Control,102,2580429.43
Control,103,2459908.76
Control,104,2345017.09
Control,105,2235491.5
Control,106,2131081.38
Control,107,2031547.8
Control,108,1936663.0
Control,109,1846209.86
Control,110,1759981.39
Control,111,1677780.28
Control,112,1599418.42
Control,113,1524716.51
Control,114,1453503.6
Control,115,1385616.74
Control,116,1320900.57
Control,117,1259207.02
Control,118,1200394.9
Control,119,1144329.65
Control,120,1090882.96
Control,121,1039932.53
Control,122,991361.78
Control,123,945059.56
Control,124,900919.91
Control,125,858841.83
Control,126,818729.04
Control,127,780489.75
Control,128,744036.45
Control,129,709285.72
Control,130,676158.05
Control,131,644577.63
Control,132,614472.19
Control,133,585772.85
Control,134,558413.93
Control,135,532332.83
Control,136,507469.86
Control,137,483768.13
Control,138,461173.41
Control,139,439634.0
Control,140,419100.59
Control,141,399526.21
Control,142,380866.07
Control,143,363077.46
Control,144,346119.68
Control,145,329953.92
Control,146,314543.2
Control,147,299852.24
Control,148,285847.44
Control,149,272496.74
Control,150,259769.6
Control,151,247636.88
Control,152,236070.83
Control,153,225044.98
Control,154,214534.1
Control,155,204514.14
Control,156,194962.17
Control,157,185856.33
Control,158,177175.78
Control,159,168900.66
Control,160,161012.04
Control,161,153491.86
Control,162,146322.92
Control,163,139488.81
Control,164,132973.89
Control,165,126763.25
Control,166,120842.69
Control,167,115198.65
Control,168,109818.22
Control,169,104689.08
Control,170,99799.51
Control,171,95138.3
Control,172,90694.8
Control,173,86458.84
Control,174,82420.72
Control,175,78571.21
Control,176,74901.48
Control,177,71403.16
Control,178,68068.23
Control,179,64889.05
Control,180,61858.36
Control,181,58969.23
Control,182,56215.03
Control,183,53589.47
Control,184,51086.54
Control,185,48700.5
Control,186,46425.91
Control,187,44257.56
Control,188,42190.48
Control,189,40219.94
Control,190,38341.44
Control,191,36550.68
Control,192,34843.56
Control,193,33216.16
Control,194,31664.78
Control,195,30185.86
Control,196,28776.0
Control,197,27432.0
Control,198,26150.77
Control,199,24929.38
Control,200,23765.04
Control,201,22655.08
Control,202,21596.95
Control,203,20588.25
Control,204,19626.67
Control,205,18709.99
Control,206,17836.13
Control,207,17003.08
Control,208,16208.94
Control,209,15451.89
Control,210,14730.2
Control,211,14042.21
Control,212,13386.36
Control,213,12761.14
Control,214,12165.12
Control,215,11596.94
Control,216,11055.3
Control,217,10538.96
Control,218,10046.73
Control,219,9577.49
Control,220,9130.16
Control,221,8703.73
