Agricultural Practice,Day,Cases
Control,1,1.0
Control,2,1.61
Control,3,2.58
Control,4,4.15
Control,5,6.67
Control,6,10.72
Control,7,17.23
Control,8,27.7
Control,9,44.52
Control,10,71.55
Control,11,115.0
Control,12,184.82
Control,13,297.04
Control,14,477.4
Control,15,767.28
Control,16,1233.16
Control,17,1981.9
Control,18,3185.26
Control,19,5119.21
Control,20,8227.25
Control,21,13221.98
Control,22,21248.22
Control,23,34144.67
Control,24,54863.33
Control,25,88140.43
Control,26,141566.96
Control,27,227288.8
Control,28,364687.21
Control,29,584554.14
Control,30,935466.7
Control,31,1493191.81
Control,32,2373740.99
Control,33,3749461.36
Control,34,5863888.45
Control,35,9032948.16
Control,36,13607006.95
Control,37,19859056.94
Control,38,27788198.03
Control,39,36918644.84
Control,40,46283808.73
Control,41,54725930.38
Control,42,61351397.13
Control,43,65802239.39
Control,44,68205447.76
Control,45,68948888.36
Control,46,68476123.11
Control,47,67174733.75
Control,48,65341846.86
Control,49,63189271.28
Control,50,60861726.01
Control,51,58455567.71
Control,52,56033841.51
Control,53,53637188.06
Control,54,51291353.69
Control,55,49012229.54
Control,56,46809192.28
Control,57,44687310.16
Control,58,42648800.95
Control,59,40693999.12
Control,60,38822000.82
Control,61,37031096.45
Control,62,35319062.72
Control,63,33683360.7
Control,64,32121270.83
Control,65,30629985.17
Control,66,29206670.52
Control,67,27848511.37
Control,68,26552739.03
Control,69,25316651.05
Control,70,24137623.84
Control,71,23013120.5
Control,72,21940695.35
Control,73,20917995.93
Control,74,19942763.5
Control,75,19012832.18
Control,76,18126127.41
Control,77,17280663.74
Control,78,16474542.3
Control,79,15705948.0
Control,80,14973146.58
Control,81,14274481.64
Control,82,13608371.55
Control,83,12973306.48
Control,84,12367845.42
Control,85,11790613.24
Control,86,11240297.88
Control,87,10715647.64
Control,88,10215468.44
Control,89,9738621.32
Control,90,9284019.97
Control,91,8850628.33
Control,92,8437458.35
Control,93,8043567.77
Control,94,7668058.06
Control,95,7310072.43
Control,96,6968793.87
Control,97,6643443.37
Control,98,6333278.14
Control,99,6037589.95
Control,100,5755703.54
Control,101,5486975.07
Control,102,5230790.7
Control,103,4986565.19
Control,104,4753740.54
Control,105,4531784.77
Control,106,4320190.7
Control,107,4118474.79
Control,108,3926176.02
Control,109,3742854.91
Control,110,3568092.44
Control,111,3401489.15
Control,112,3242664.19
Control,113,3091254.51
Control,114,2946913.97
Control,115,2809312.58
Control,116,2678135.76
Control,117,2553083.61
Control,118,2433870.2
Control,119,2320222.96
Control,120,2211882.05
Control,121,2108599.73
Control,122,2010139.85
Control,123,1916277.26
Control,124,1826797.32
Control,125,1741495.44
Control,126,1660176.53
Control,127,1582654.64
Control,128,1508752.49
Control,129,1438301.09
Control,130,1371139.3
Control,131,1307113.55
Control,132,1246077.41
Control,133,1187891.29
Control,134,1132422.12
Control,135,1079543.04
Control,136,1029133.11
Control,137,981077.06
Control,138,935264.96
Control,139,891592.04
Control,140,849958.43
Control,141,810268.89
Control,142,772432.66
Control,143,736363.19
Control,144,701977.99
Control,145,669198.42
Control,146,637949.5
Control,147,608159.76
Control,148,579761.06
Control,149,552688.46
Control,150,526880.03
Control,151,502276.74
Control,152,478822.32
Control,153,456463.11
Control,154,435147.99
Control,155,414828.2
Control,156,395457.25
Control,157,376990.85
Control,158,359386.76
Control,159,342604.71
Control,160,326606.31
