Agricultural Practice,Day,Cases
Control,1,1.0
Control,2,1.85
Control,3,3.42
Control,4,6.33
Control,5,11.71
Control,6,21.66
Control,7,40.07
Control,8,74.13
Control,9,137.13
Control,10,253.67
Control,11,469.25
Control,12,868.05
Control,13,1605.77
Control,14,2970.42
Control,15,5494.72
Control,16,10163.97
Control,17,18800.12
Control,18,34771.31
Control,19,64300.29
Control,20,118871.65
Control,21,219639.21
Control,22,405424.58
Control,23,746991.95
Control,24,1371717.42
Control,25,2503567.81
Control,26,4519406.73
Control,27,8002297.84
Control,28,13714347.77
Control,29,22320640.65
Control,30,33739140.03
Control,31,46511033.99
Control,32,58182747.03
Control,33,66769575.19
Control,34,71736563.11
Control,35,73676555.48
Control,36,73525876.16
Control,37,72091764.16
Control,38,69933975.99
Control,39,67402860.59
Control,40,64706858.22
Control,41,61966776.5
Control,42,59251464.79
Control,43,56599442.11
Control,44,54031575.48
Control,45,51558429.48
Control,46,49184528.53
Control,47,46910844.95
Control,48,44736265.4
Control,49,42658464.49
Control,50,40674431.02
Control,51,38780787.97
Control,52,36973988.67
Control,53,35250437.61
Control,54,33606564.86
Control,55,32038871.5
Control,56,30543956.96
Control,57,29118534.64
Control,58,27759440.28
Control,59,26463635.42
Control,60,25228207.94
Control,61,24050370.53
Control,62,22927457.9
Control,63,21856923.34
Control,64,20836334.7
Control,65,19863370.13
Control,66,18935813.81
Control,67,18051551.53
Control,68,17208566.44
Control,69,16404934.78
Control,70,15638821.82
Control,71,14908477.87
Control,72,14212234.44
Control,73,13548500.59
Control,74,12915759.34
Control,75,12312564.32
Control,76,11737536.51
Control,77,11189361.13
Control,78,10666784.69
Control,79,10168612.12
Control,80,9693704.09
Control,81,9240974.4
Control,82,8809387.52
Control,83,8397956.26
Control,84,8005739.46
Control,85,7631839.92
Control,86,7275402.28
Control,87,6935611.13
Control,88,6611689.12
Control,89,6302895.18
Control,90,6008522.85
Control,91,5727898.63
Control,92,5460380.51
Control,93,5205356.4
Control,94,4962242.83
Control,95,4730483.56
Control,96,4509548.34
Control,97,4298931.64
Control,98,4098151.58
Control,99,3906748.76
Control,100,3724285.24
Control,101,3550343.54
Control,102,3384525.65
Control,103,3226452.16
Control,104,3075761.4
Control,105,2932108.56
Control,106,2795164.95
Control,107,2664617.22
Control,108,2540166.65
Control,109,2421528.5
Control,110,2308431.29
Control,111,2200616.25
Control,112,2097836.67
Control,113,1999857.37
Control,114,1906454.17
Control,115,1817413.34
Control,116,1732531.15
Control,117,1651613.35
Control,118,1574474.8
Control,119,1500939.0
Control,120,1430837.67
Control,121,1364010.41
Control,122,1300304.31
Control,123,1239573.59
Control,124,1181679.3
Control,125,1126488.95
Control,126,1073876.26
Control,127,1023720.85
Control,128,975907.94
Control,129,930328.12
Control,130,886877.11
Control,131,845455.48
Control,132,805968.45
Control,133,768325.65
Control,134,732440.96
Control,135,698232.27
Control,136,665621.29
Control,137,634533.4
Control,138,604897.48
Control,139,576645.7
Control,140,549713.43
Control,141,524039.02
Control,142,499563.74
Control,143,476231.58
Control,144,453989.14
Control,145,432785.54
Control,146,412572.26
Control,147,393303.04
Control,148,374933.79
Control,149,357422.47
Control,150,340729.02
Control,151,324815.24
Control,152,309644.72
Control,153,295182.73
Control,154,281396.2
Control,155,268253.56
Control,156,255724.75
Control,157,243781.1
Control,158,232395.28
Control,159,221541.24
Control,160,211194.13
Control,161,201330.29
Control,162,191927.14
Control,163,182963.16
Control,164,174417.85
Control,165,166271.64
Control,166,158505.91
Control,167,151102.87
Control,168,144045.6
Control,169,137317.93
Control,170,130904.48
Control,171,124790.58
Control,172,118962.22
Control,173,113406.08
Control,174,108109.43
Control,175,103060.17
Control,176,98246.73
Control,177,93658.11
Control,178,89283.8
Control,179,85113.79
Control,180,81138.54
Control,181,77348.95
Control,182,73736.36
Control,183,70292.5
Control,184,67009.48
Control,185,63879.79
Control,186,60896.28
Control,187,58052.11
Control,188,55340.78
Control,189,52756.08
Control,190,50292.1
Control,191,47943.21
Control,192,45704.01
Control,193,43569.4
Control,194,41534.49
Control,195,39594.62
Control,196,37745.34
Control,197,35982.44
Control,198,34301.88
Control,199,32699.81
Control,200,31172.56
Control,201,29716.64
Control,202,28328.72
Control,203,27005.62
Control,204,25744.32
Control,205,24541.93
