Agricultural Practice,Day,Max Cases,Percent Decrease,Location
Control,3,95092423.634,0.0,2A
Organic Material Cover,4,95219331.325,-0.1334572052642732,2A
Mulch,3,96312471.22,-1.2830123992799056,2A
Control,28,77177083.937,0.0,3A
Organic Material Cover,26,78666307.155,-1.9296184074739777,3A
Mulch,29,76307707.229,1.1264700137020989,3A
Control,53,65034936.8,0.0,3D
Organic Material Cover,105,47752719.075,26.573744167919287,3D
Mulch,98,49584551.259,23.757054748148835,3D
Control,44,68948888.357,0.0,3E
Organic Material Cover,91,51621835.513,25.13028600879666,3E
Mulch,80,54883678.146,20.399473503001058,3E
Control,34,73676555.475,0.0,3G
Organic Material Cover,45,68604230.33,6.884585079063776,3G
Mulch,44,68794607.76,6.626188864999988,3G
